id,region,rule,clientMCC,excludeClientMCC,direction,parentTypeId,excludeParentTypeId,priority,keyword,initiationMode,isCashback,channel,isOverdraftProtection,isBankSpecialSavings,isRej,isTermDepositRedemption,isReversal,deviceId,hasInstallments,transactionPurpose,keywordMccCharge,keywordMccNonCharge,activityClass
UNI_1__D_TRANSFER__FARMS,UNI,1,,,D,TRANSFER,,,FARMS,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FASHION,UNI,1,,,D,TRANSFER,,,FASHION,,,,,,,,,,,,5691,5691,
UNI_1__D_TRANSFER__FASHION CAKES,UNI,1,,,D,TRANSFER,,,FASHION CAKES,,,,,,,,,,,,5462,5462,
UNI_1__D_TRANSFER__FASHION NAIL,UNI,1,,,D,TRANSFER,,,FASHION NAIL,,,,,,,,,,,,7230,7230,
UNI_2__D_TRANSFER__FASHION SALON,UNI,2,,,D,TRANSFER,,,FASHION SALON,,,,,,,,,,,,7230,7230,
UNI_1__D_TRANSFER__FAST FOOD,UNI,1,,,D,TRANSFER,,,FAST FOOD,,,,,,,,,,,,5814,5814,
UNI_1__D_TRANSFER__FAST FUEL,UNI,1,,,D,TRANSFER,,,FAST FUEL,,,,,,,,,,,,5542,5542,
UNI_1__D_TRANSFER__FAST MAR,UNI,1,,,D,TRANSFER,,,FAST MAR,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FASTFOOD,UNI,1,,,D,TRANSFER,,,FASTFOOD,,,,,,,,,,,,5814,5814,
UNI_1__D_TRANSFER__FISH STALL,UNI,1,,,D,TRANSFER,,,FISH STALL,,,,,,,,,,,,5422,5422,
UNI_1__D_TRANSFER__FISHBALL,UNI,1,,,D,TRANSFER,,,FISHBALL,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__FLEET MANAGEMENT,UNI,1,,,D,TRANSFER,,,FLEET MANAGEMENT,,,,,,,,,,,,7531,7531,
UNI_1__D_TRANSFER__FLEURISTE,UNI,1,,,D,TRANSFER,,,FLEURISTE,,,,,,,,,,,,5992,5992,
UNI_1__D_TRANSFER__FLORIST,UNI,1,,,D,TRANSFER,,,FLORIST,,,,,,,,,,,,5992,5992,
UNI_1__D_TRANSFER__FLORISTS,UNI,1,,,D,TRANSFER,,,FLORISTS,,,,,,,,,,,,5992,5992,
UNI_2__D_TRANSFER__FOOD,UNI,2,,,D,TRANSFER,,,FOOD,,,,,,,,,,,,5499,5499,
UNI_1__D_TRANSFER__FOOD COURT,UNI,1,,,D,TRANSFER,,,FOOD COURT,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__FOOD MART,UNI,2,,,D,TRANSFER,,,FOOD MART,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FOOD TRUCK,UNI,1,,,D,TRANSFER,,,FOOD TRUCK,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__FOOD&BEVRGE,UNI,1,,,D,TRANSFER,,,FOOD&BEVRGE,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__FOODCOURT,UNI,1,,,D,TRANSFER,,,FOODCOURT,,,,,,,,,,,,5812,5812,
UNI_1__D_TRANSFER__FOODLAND,UNI,1,,,D,TRANSFER,,,FOODLAND,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FOODPAN,UNI,1,,,D,TRANSFER,,,FOODPAN,,,,,,,,,,,,5812,5812,
UNI_2__D_TRANSFER__FOODS,UNI,2,,,D,TRANSFER,,,FOODS,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FOODSERVICE,UNI,1,,,D,TRANSFER,,,FOODSERVICE,,,,,,,,,,,,5811,5811,
UNI_1__D_TRANSFER__FOODSTORE,UNI,1,,,D,TRANSFER,,,FOODSTORE,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FOODSTUFF,UNI,1,,,D,TRANSFER,,,FOODSTUFF,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FOODTECH,UNI,1,,,D,TRANSFER,,,FOODTECH,,,,,,,,,,,,5411,5411,
UNI_1__D_TRANSFER__FOOTWEAR,UNI,1,,,D,TRANSFER,,,FOOTWEAR,,,,,,,,,,,,5661,5661,
UNI_1__D_TRANSFER__FRAGRANCE,UNI,1,,,D,TRANSFER,,,FRAGRANCE,,,,,,,,,,,,5977,5977,
